joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	유하
neutral	아....
neutral	이건먹방아님 ㄱㅊ
neutral	짬서스
neutral	사나이가 뭔 말이 이렇게 길어
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	숙제?
joy	ㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋ
neutral	머기업을 독살하고 머기업이되려는 나
neutral	쌈장찍어먹자
neutral	문열어놓고 감시 on
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	짬타수아의 빈찬합
surprise	?
neutral	콜라찜닭 맛있는 건 알지만 그걸 짬누가 만들면...?
neutral	빛났다 사라져
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	양배추때문에
sadness	:( :( :( :(
neutral	ㅉㅉㅉㅉ
neutral	수의입고왔네?
surprise	에반데?
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
sadness	ㅜㅜㅜㅜㅜㅜㅜㅜ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	올라옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	?
neutral	ㅔ
neutral	ㄹㅇㅋㅋ
neutral	킹빠한테나 제대로..
neutral	꿔바로웈ㅋㅋㅋㅋㅋㅋ
neutral	흑화 수화
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
sadness	그사람은 잘해주고 메니저님은...ㅠㅠ
neutral	윽 !
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	믿을게없어서;;
joy	재밌긴해
neutral	패륜 ON
neutral	반어법
neutral	평점 내라고
neutral	업
neutral	이게 아니다 싶은 촉이 쎄게 와버린 재넌이었다
fear	싸늘하다
neutral	아 ㅇㅈ
neutral	당면을 살려라
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
sadness	RIP
neutral	ㄹㅇㅋㅋ
surprise	ㅎㄷㄷ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	닭물
surprise	500은 에반데 ㅋㅋ
surprise	이세계 요리가 아니다!
neutral	닭과 동점 콜라
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	돌아가셔서 소감이 없어요
neutral	겉으론 식별 불가
neutral	이게 ppl이면 고소당하지
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋ
neutral	고봉으로!
neutral	딱딱딱
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	100판은 진작 넘었지
neutral	닭에 밑간을 안했나유??
neutral	갑자기 딸꾹질이안멈춰
sadness	튀기는건 힘들지
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
fear	도망가!!!
neutral	X
neutral	업보 ㅋㅋ
neutral	더 쫄여야대
surprise	어?
neutral	그만 좀 나가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
surprise	??????/
neutral	콜라빨 최고징
surprise	앗
sadness	아니 그래도 평범한 결과는 나와야...
neutral	취조
neutral	zzamHI
surprise	와 ㄷㄷㄷㄷ
neutral	정보) 익수는 lck에서 일라오이 썼다
fear	뭐해 도망쳐!
neutral	빨리 끝내야 집을 갈수있어
neutral	다시 돌아온 4공기형
neutral	단풍 벼락일텐데
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	짬서스 ㄷㄷ
neutral	30이나 32나 ㅋㅋ
neutral	우유에 재워야지
surprise	처음치곤
neutral	어서 맛봐
neutral	갈릭ㄷㄷ
surprise	?
neutral	취조ON
neutral	뚜껑열고 졸여야지
neutral	별점 1점음식 리뷰 아니눜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	걸스캔두애니띵
neutral	식재료를 짬으로 박구는 능력!
surprise	기적 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	머라구?
neutral	안뇨오오어옹
surprise	장군이 사람다된듯
surprise	오 생각보다 맛있나본데?
neutral	닭가슴살 먹어주세요!
joy	ㅋㅋㅋㅋㅋㅋㅋㅋ
surprise	??
neutral	ㅔ
neutral	TBAngel TBAngel
surprise	와
neutral	닭가슴살ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	콜라때문임 ㅇㅇ
neutral	양파 크기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
surprise	......?
sadness	비율로만바도 딱 망했네
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	캄다운
neutral	당면ㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	이제 끓이기만 하면 되는데 정리한번 하는게
neutral	그거잖아 떡볶이집 이모 이쁜거
fear	지금 도망쳐 ....
neutral	합법적 거부권
neutral	불 켜 놓는게 훨씬 이쁘게 나옴
neutral	뇌손실옴
neutral	ㅇㅈ
fear	집요하다
joy	겨울감자가 마싯당당
neutral	토컨 ㅋㅋㅋ
neutral	닭부랄 ㅋㅋㅋㅋㅋㅋㅋ
neutral	칼집이 아니라
neutral	닭이 1점 ㅋㅋ
neutral	딱딱
neutral	지금 정신이 없음 ㅋㅋㅋ
neutral	둥둥
neutral	찜이 아닌거 같은데 이밐ㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	국물 1점 나머지 0.5
surprise	ㅔ?
neutral	??? : 재넌은 맛이 없다
neutral	ㅁㄴㅁㄴ ㅁㄴㅇㅈ~
neutral	벤젠
neutral	8천판켠왕가자
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
surprise	??
fear	우욱
neutral	치킨볼
neutral	독살까비
surprise	?
neutral	zzamBye zzamBye zzamBye zzamBye zzamBye
neutral	토하고 왔네
fear	ㄷㄷㄷ
surprise	급 반전 ㅋㅋㅋㅋ
neutral	짬하
neutral	그냥 인정해 ㅋㅋㅋ 인정하면 편해
joy	ㅋㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	자동으로 차는 밥그릇
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	부대찌개도 그랬다
neutral	식 고 문
neutral	여긴 늘겄어...
neutral	' 화기 '
surprise	?????
neutral	걷어내기엔 너무 빠르지 않나.. ㄷㄷ
sadness	자신이 없는나
fear	죽은 닭도 뱉어내는 맛
neutral	딸기잼 라면 가자
neutral	상복ㅋㅋㅋㅋㅋ
neutral	유투브 컨텐츠 만들자고 했자나
neutral	솔그린 깸
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	소돋똑
surprise	ㄷㄷㄷㄷ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
sadness	ㅜㅜ
anger	기레기
neutral	주펄수아
neutral	치매
neutral	컵 밑에 적혀있어........
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	탄산이 끓으면서 닭단백질이랑 굳어지면 저렇게 생김
joy	ㅋㅋㅋㅋㅋ
neutral	ㄹㅇㅋㅋㅋㅋ
neutral	뜨거운물?
neutral	저기 위에 있는 재료중에 콜라가 제일 맛있을듯
neutral	5공기
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	결과주의세상
neutral	시켜먹자
sadness	닭 원래 잘 안됨 ㅠㅠ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
fear	다음 약속 가야된다고 도망치세요.
fear	속지마
neutral	안녕하세요
joy	ㅋㅋㅋㅋㅋㅋㅋ언니 완전 신나심ㅋㅋㅋ
neutral	내 요그릭......ㅠㅠ
neutral	사과주물럭 갑시다
joy	ㅋㅋㄱㅋㅋㅋㅋㄱㄱ
neutral	크아앙!
neutral	욜!!><많네욤
neutral	당첨인가요...?
neutral	어머 언니 방금 nct 새 뮤비 떳어요!!!!!!!
neutral	캠 살짝 왼쪽으로 옮겨주실수있나여?ㅎㅎ
joy	해녀님 네이밍센스 너무 좋아옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
surprise	...?
surprise	연어요오~~?
neutral	윰윰이긔
joy	ㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	갑자기 밀리는 사과 무룩
surprise	b
neutral	문도
neutral	섹귀시리즈가나요
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	봇전 적들 바보라서 막 들어가셔도되요
neutral	윰댕님 미드 상대는 1명이니 아래로 가셔서 2대2 하시는게 나아 보여요
joy	좋아여~~~~
neutral	윰댕섹귀
joy	노래도 좋고
neutral	위에거
neutral	98년생아닙니다 ㅋㅋㅋㅋㅋㄱ
surprise	과연! 로또당첨일까요?1
surprise	아하 그래서 주위소음도 크게들어가는군요
surprise	깜짝
love	이뻐용
neutral	미드 탑
neutral	누나 밑에 맵 좀 보여주세요
neutral	브라움?
neutral	삼위일체 스테락의도전 망자의갑옷 입니다
surprise	욕하시는줄ㅋㅋㅋㅋㅋ
neutral	롤은 현질안하면 어렵지요?
surprise	오오
neutral	물약은 많이 안 사도 되여 ㅎㅎ
neutral	돈이안되서용
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	찾기는 되지 않을까용?
surprise	수박 무엇 ㄱㅋㅋㄱ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	아이디찾기가나요
neutral	ㅋㅋㄱ사과마사지
surprise	왠일이시래요?
neutral	광고에 치은우 나와서 다 보고왔어용
love	이뿌니들...♡
anger	롤담당자야일해라
surprise	아 맞네 ㅎㅎㅎㅎ
neutral	언니! 저도 메이블린틴트 히로인샀는데 언니는 쓰실 때 안 건조하시던가용?
neutral	5중자아래ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	ㅋㅋㅋㅋㅋ 닉네임이 ㅋㅋㅋ
sadness	ㅠㅠㅠㅠ
neutral	휴면계정각아님니까..!
joy	좋은정보 너무너무 감사해요!
joy	해녀님 목소리만 들어도 웃겨욤
neutral	ㅋㅋㅋㅋ신분세탁
surprise	오잉?
neutral	윰댕님 왼쪽 게임화면 잘리고있어요~ 크기 맞춰주시면 안될까요 ㅎㅎ
neutral	롤 처음 시작 하시는건가요???
neutral	삼시섹귀해보세요
surprise	ㅋㅋ정말루여?
joy	ㅋㅋㅋㅋㅋㅋ
neutral	되따
neutral	퍄퍄
neutral	심즈방송은 이제 안해요?
surprise	싱기하당
neutral	돈 워리
surprise	누구냐 넌!!! ㅋㅋㅋㅋㅋ
neutral	강타들었네여 정글
neutral	강댕이라고 생각하시면 든든하실듯
neutral	아 누나 시즌9부터 약간 공격적으로 메타입니다
surprise	계정이 도대체 몇개입니까 ㅋㅋㅋㅋ
neutral	오늘은 뭐해여?
neutral	LOL
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ
neutral	주민번호때문인갑!!
neutral	안녕하세요
love	와 언니 보라옷 너무예쁘다ㅠㅠ 머리랑 찰떡 색깔이에용
neutral	롤하시는거첨봄....
neutral	편한대루 쓰시면대영
anger	볼베 싫다ㅜㅜ
neutral	분식
neutral	첫번꺼는 하다 접어서 별로없고 중간쯤 만든 아이디가 젤 많을듯
neutral	무슨게임이에여오어~??
surprise	????
neutral	y 누르시면 시점 바꿀 수 있어ㅓ요~
neutral	ㅌ
surprise	오오오~~~
sadness	롤셧다운제있어서전못해요 ㅠㅠ
neutral	단짠사과♡
neutral	큐
neutral	띠용,,, 봇전도 있구나
neutral	점멸있어도 죽으셨을거에요 이번에는 ㅜㅜ 카서스궁땜에
sadness	언니생방 라디오처럼 켜놓고 공부하는데 오늘은 자러와서 듣네용ㅇㅎㅎㅎ 아쉽,,,
joy	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	5중자앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	잉잉ㅋㅋㅋㅋㅋㅋㅋㄱㅋ
neutral	옆방소리가 어떻게 그렇게 잘들리나 했더니
joy	룰루!
neutral	언니 그럼 조만간 프로분들과 합방도 볼 수 있는건가용???
neutral	방갑슴니데이.감기조심하세요.오늘따라더예뻐보여요.
neutral	언닝 오늘은 뭐하세요~~~?
love	너무 예뻐요😩😍
neutral	롤 하신대요!
neutral	봤냐~?
neutral	일일이 작업;;
love	웃음소리 졸귀들이시다
neutral	언니 롤 1위에요
surprise	언니가 드디어 더블킬을 해내셔따!!@
neutral	아놬ㅋㅋㅋㅋㅋㅋㅋ
sadness	뭐든좋으니 시작해줘요게임ㅠㅠ
neutral	롤하기 너무 힘들쟈나!ㅋㅋㅋㅋㅋㅋㅋㅋ
neutral	ㅇㅇ수수께끼
neutral	윰댕2
neutral	왜 뒤에 서랍장 치웠어야?
joy	요즘 언니 asmr 들으면서 자는데 잠을 푹~ 잘수있어서 좋아요
neutral	오 잘묵어
joy	ㅎㅎㅎㅎㅎㅎㅎ
neutral	윰댕님롤재밌나요??
love	헐 언니생방 오랜만에보는데 저랑 옷이 똑같아서 혼자 심큥😍
neutral	누피님한테 그래서 화났어?? ㅋㅌㅋㅋㅋㅋ
neutral	피자가게 고고
neutral	아... 봇전이구낭...
neutral	뺏긴건가 ㅋㅋㅋㅋㅋㅋㅋ
neutral	정글가타요
fear	으왕
surprise	????
neutral	머리가 풍성해졌쟈나
neutral	제발
neutral	q 쓸 때 원 안 쪽 말고 바깥쪽에서 데미지 입히면 데미지 더 입혀료
neutral	닭발,,,,,,
neutral	와 윰댕님이 롤을 하는거 보고 싶다
